Date,Type,Sub Type,Action,Symbol,Instrument Type,Description,Value,Quantity,Average Price,Commissions,Fees,Multiplier,Root Symbol,Underlying Symbol,Expiration Date,Strike Price,Call or Put,Order #,Total,Currency
2026-04-28T14:59:12-0300,Trade,Buy to Close,BUY_TO_CLOSE,SPXW  260428P07135000,Equity Option,Bought 2 SPX 04/28/26 Put 7135.00 @ 6.73,"-1,346.00",2,-673.00,0.00,-1.45,100,SPXW,SPX,4/28/26,7135,PUT,460867269,"-1,347.45",USD
2026-04-28T14:59:12-0300,Trade,Sell to Close,SELL_TO_CLOSE,SPXW  260428P07140000,Equity Option,Sold 2 SPX 04/28/26 Put 7140.00 @ 9.83,"1,966.00",2,983.00,0.00,-1.46,100,SPXW,SPX,4/28/26,7140,PUT,460867269,"1,964.54",USD
2026-04-28T10:41:48-0300,Trade,Sell to Open,SELL_TO_OPEN,SPXW  260428P07135000,Equity Option,Sold 2 SPX 04/28/26 Put 7135.00 @ 10.33,"2,066.00",2,"1,033.00",-2.00,-1.46,100,SPXW,SPX,4/28/26,7135,PUT,460613954,"2,062.54",USD
2026-04-28T10:41:48-0300,Trade,Buy to Open,BUY_TO_OPEN,SPXW  260428P07140000,Equity Option,Bought 2 SPX 04/28/26 Put 7140.00 @ 12.08,"-2,416.00",2,"-1,208.00",-2.00,-1.45,100,SPXW,SPX,4/28/26,7140,PUT,460613954,"-2,419.45",USD
2026-04-27T14:57:41-0300,Trade,Sell to Close,SELL_TO_CLOSE,SPXW  260427P07160000,Equity Option,Sold 1 SPX 04/27/26 Put 7160.00 @ 2.28,228.00,1,228.00,0.00,-0.72,100,SPXW,SPX,4/27/26,7160,PUT,460097493,227.28,USD
2026-04-27T14:57:41-0300,Trade,Buy to Close,BUY_TO_CLOSE,SPXW  260427P07155000,Equity Option,Bought 1 SPX 04/27/26 Put 7155.00 @ 1.68,-168.00,1,-168.00,0.00,-0.72,100,SPXW,SPX,4/27/26,7155,PUT,460097493,-168.72,USD
2026-04-27T14:00:01-0300,Trade,Buy to Open,BUY_TO_OPEN,SPXW  260427P07160000,Equity Option,Bought 1 SPX 04/27/26 Put 7160.00 @ 5.48,-548.00,1,-548.00,-1.00,-0.72,100,SPXW,SPX,4/27/26,7160,PUT,460024362,-549.72,USD
2026-04-27T14:00:01-0300,Trade,Sell to Open,SELL_TO_OPEN,SPXW  260427P07155000,Equity Option,Sold 1 SPX 04/27/26 Put 7155.00 @ 4.13,413.00,1,413.00,-1.00,-0.72,100,SPXW,SPX,4/27/26,7155,PUT,460024362,411.28,USD
2026-04-25T16:26:32-0300,Money Movement,Balance Adjustment,,,,Regulatory fee adjustment,0.01,0,,--,0.00,,,,,,,,0.01,USD
2026-04-24T16:05:28-0300,Trade,Buy to Close,BUY_TO_CLOSE,SPXW  260424C07140000,Equity Option,Bought 1 SPX 04/24/26 Call 7140.00 @ 21.35,"-2,135.00",1,"-2,135.00",0.00,-0.72,100,SPXW,SPX,4/24/26,7140,CALL,459569399,"-2,135.72",USD
2026-04-24T16:05:28-0300,Trade,Sell to Close,SELL_TO_CLOSE,SPXW  260424C07135000,Equity Option,Sold 1 SPX 04/24/26 Call 7135.00 @ 26.20,"2,620.00",1,"2,620.00",0.00,-0.72,100,SPXW,SPX,4/24/26,7135,CALL,459569399,"2,619.28",USD
2026-04-24T16:05:28-0300,Trade,Buy to Close,BUY_TO_CLOSE,SPXW  260424C07140000,Equity Option,Bought 1 SPX 04/24/26 Call 7140.00 @ 21.35,"-2,135.00",1,"-2,135.00",0.00,-0.72,100,SPXW,SPX,4/24/26,7140,CALL,459569399,"-2,135.72",USD
2026-04-24T16:05:28-0300,Trade,Sell to Close,SELL_TO_CLOSE,SPXW  260424C07135000,Equity Option,Sold 1 SPX 04/24/26 Call 7135.00 @ 26.20,"2,620.00",1,"2,620.00",0.00,-0.72,100,SPXW,SPX,4/24/26,7135,CALL,459569399,"2,619.28",USD
2026-04-24T10:54:21-0300,Trade,Sell to Open,SELL_TO_OPEN,SPXW  260424C07140000,Equity Option,Sold 2 SPX 04/24/26 Call 7140.00 @ 6.51,"1,302.00",2,651.00,-2.00,-1.46,100,SPXW,SPX,4/24/26,7140,CALL,458835898,"1,298.54",USD
2026-04-24T10:54:21-0300,Trade,Buy to Open,BUY_TO_OPEN,SPXW  260424C07135000,Equity Option,Bought 2 SPX 04/24/26 Call 7135.00 @ 8.26,"-1,652.00",2,-826.00,-2.00,-1.45,100,SPXW,SPX,4/24/26,7135,CALL,458835898,"-1,655.45",USD
2026-04-18T16:24:30-0300,Money Movement,Balance Adjustment,,,,Regulatory fee adjustment,0.06,0,,--,0.00,,,,,,,,0.06,USD
2026-04-17T16:19:26-0300,Trade,Buy to Close,BUY_TO_CLOSE,SPXW  260417C07140000,Equity Option,Bought 2 SPX 04/17/26 Call 7140.00 @ 0.27,-54.00,2,-27.00,0.00,-1.45,100,SPXW,SPX,4/17/26,7140,CALL,455755390,-55.45,USD
2026-04-17T16:19:26-0300,Trade,Sell to Close,SELL_TO_CLOSE,SPXW  260417C07135000,Equity Option,Sold 2 SPX 04/17/26 Call 7135.00 @ 0.47,94.00,2,47.00,0.00,-1.46,100,SPXW,SPX,4/17/26,7135,CALL,455755390,92.54,USD
2026-04-17T14:22:58-0300,Trade,Sell to Open,SELL_TO_OPEN,SPXW  260417C07140000,Equity Option,Sold 1 SPX 04/17/26 Call 7140.00 @ 4.63,463.00,1,463.00,-1.00,-0.72,100,SPXW,SPX,4/17/26,7140,CALL,455644177,461.28,USD
2026-04-17T14:22:58-0300,Trade,Buy to Open,BUY_TO_OPEN,SPXW  260417C07135000,Equity Option,Bought 1 SPX 04/17/26 Call 7135.00 @ 6.63,-663.00,1,-663.00,-1.00,-0.72,100,SPXW,SPX,4/17/26,7135,CALL,455644177,-664.72,USD
2026-04-17T14:22:58-0300,Trade,Sell to Open,SELL_TO_OPEN,SPXW  260417C07140000,Equity Option,Sold 1 SPX 04/17/26 Call 7140.00 @ 4.63,463.00,1,463.00,-1.00,-0.72,100,SPXW,SPX,4/17/26,7140,CALL,455644177,461.28,USD
2026-04-17T14:22:58-0300,Trade,Buy to Open,BUY_TO_OPEN,SPXW  260417C07135000,Equity Option,Bought 1 SPX 04/17/26 Call 7135.00 @ 6.63,-663.00,1,-663.00,-1.00,-0.72,100,SPXW,SPX,4/17/26,7135,CALL,455644177,-664.72,USD
2026-04-17T13:30:44-0300,Trade,Buy to Close,BUY_TO_CLOSE,SPXW  260417C07100000,Equity Option,Bought 1 SPX 04/17/26 Call 7100.00 @ 43.00,"-4,300.00",1,"-4,300.00",0.00,-0.72,100,SPXW,SPX,4/17/26,7100,CALL,455423841,"-4,300.72",USD
2026-04-17T13:30:44-0300,Trade,Sell to Close,SELL_TO_CLOSE,SPXW  260417C07095000,Equity Option,Sold 1 SPX 04/17/26 Call 7095.00 @ 47.80,"4,780.00",1,"4,780.00",0.00,-0.72,100,SPXW,SPX,4/17/26,7095,CALL,455423841,"4,779.28",USD
2026-04-17T10:33:12-0300,Trade,Sell to Open,SELL_TO_OPEN,SPXW  260417C07100000,Equity Option,Sold 1 SPX 04/17/26 Call 7100.00 @ 10.34,"1,034.00",1,"1,034.00",-1.00,-0.72,100,SPXW,SPX,4/17/26,7100,CALL,455309658,"1,032.28",USD
2026-04-17T10:33:12-0300,Trade,Buy to Open,BUY_TO_OPEN,SPXW  260417C07095000,Equity Option,Bought 1 SPX 04/17/26 Call 7095.00 @ 12.69,"-1,269.00",1,"-1,269.00",-1.00,-0.72,100,SPXW,SPX,4/17/26,7095,CALL,455309658,"-1,270.72",USD
2026-04-16T13:43:18-0300,Money Movement,Withdrawal,,,,Digital Asset Fund Conversion Withdrawal of 49.47 USDC/USD,-50.00,0,,--,0.00,,,,,,,,-50.00,USD
2026-04-15T13:53:12-0300,Trade,Sell to Close,SELL_TO_CLOSE,SPXW  260415C07060000,Equity Option,Sold 1 SPX 04/15/26 Call 7060.00 @ 0.12,12.00,1,12.00,0.00,-0.72,100,SPXW,SPX,4/15/26,7060,CALL,454655076,11.28,USD
2026-04-15T13:53:12-0300,Trade,Buy to Close,BUY_TO_CLOSE,SPXW  260415C07020000,Equity Option,Bought 1 SPX 04/15/26 Call 7020.00 @ 0.67,-67.00,1,-67.00,0.00,-0.72,100,SPXW,SPX,4/15/26,7020,CALL,454655076,-67.72,USD
2026-04-15T13:53:12-0300,Trade,Sell to Close,SELL_TO_CLOSE,SPXW  260415C07060000,Equity Option,Sold 1 SPX 04/15/26 Call 7060.00 @ 0.12,12.00,1,12.00,0.00,-0.72,100,SPXW,SPX,4/15/26,7060,CALL,454655076,11.28,USD
2026-04-15T13:53:12-0300,Trade,Buy to Close,BUY_TO_CLOSE,SPXW  260415C07020000,Equity Option,Bought 1 SPX 04/15/26 Call 7020.00 @ 0.67,-67.00,1,-67.00,0.00,-0.72,100,SPXW,SPX,4/15/26,7020,CALL,454655076,-67.72,USD
2026-04-15T13:47:37-0300,Trade,Sell to Close,SELL_TO_CLOSE,SPXW  260415P06920000,Equity Option,Sold 1 SPX 04/15/26 Put 6920.00 @ 1.30,130.00,1,130.00,0.00,-0.72,100,SPXW,SPX,4/15/26,6920,PUT,454558051,129.28,USD
2026-04-15T13:47:37-0300,Trade,Buy to Close,BUY_TO_CLOSE,SPXW  260415P06960000,Equity Option,Bought 1 SPX 04/15/26 Put 6960.00 @ 3.75,-375.00,1,-375.00,0.00,-0.72,100,SPXW,SPX,4/15/26,6960,PUT,454558051,-375.72,USD
2026-04-15T13:47:37-0300,Trade,Sell to Close,SELL_TO_CLOSE,SPXW  260415P06920000,Equity Option,Sold 1 SPX 04/15/26 Put 6920.00 @ 1.30,130.00,1,130.00,0.00,-0.72,100,SPXW,SPX,4/15/26,6920,PUT,454558051,129.28,USD
2026-04-15T13:47:37-0300,Trade,Buy to Close,BUY_TO_CLOSE,SPXW  260415P06960000,Equity Option,Bought 1 SPX 04/15/26 Put 6960.00 @ 3.75,-375.00,1,-375.00,0.00,-0.72,100,SPXW,SPX,4/15/26,6960,PUT,454558051,-375.72,USD
2026-04-15T11:51:34-0300,Trade,Buy to Open,BUY_TO_OPEN,SPXW  260415P06920000,Equity Option,Bought 2 SPX 04/15/26 Put 6920.00 @ 0.82,-164.00,2,-82.00,-2.00,-1.45,100,SPXW,SPX,4/15/26,6920,PUT,454551885,-167.45,USD
2026-04-15T11:51:34-0300,Trade,Buy to Open,BUY_TO_OPEN,SPXW  260415C07060000,Equity Option,Bought 2 SPX 04/15/26 Call 7060.00 @ 0.28,-56.00,2,-28.00,-2.00,-1.45,100,SPXW,SPX,4/15/26,7060,CALL,454551885,-59.45,USD
2026-04-15T11:51:34-0300,Trade,Sell to Open,SELL_TO_OPEN,SPXW  260415P06960000,Equity Option,Sold 2 SPX 04/15/26 Put 6960.00 @ 2.35,470.00,2,235.00,-2.00,-1.46,100,SPXW,SPX,4/15/26,6960,PUT,454551885,466.54,USD
2026-04-15T11:51:34-0300,Trade,Sell to Open,SELL_TO_OPEN,SPXW  260415C07020000,Equity Option,Sold 2 SPX 04/15/26 Call 7020.00 @ 1.50,300.00,2,150.00,-2.00,-1.46,100,SPXW,SPX,4/15/26,7020,CALL,454551885,296.54,USD
2026-04-14T16:39:17-0300,Trade,Buy to Close,BUY_TO_CLOSE,SPXW  260414C06980000,Equity Option,Bought 1 SPX 04/14/26 Call 6980.00 @ 0.75,-75.00,1,-75.00,0.00,-0.72,100,SPXW,SPX,4/14/26,6980,CALL,454367107,-75.72,USD
2026-04-14T16:39:17-0300,Trade,Sell to Close,SELL_TO_CLOSE,SPXW  260414C06965000,Equity Option,Sold 1 SPX 04/14/26 Call 6965.00 @ 4.60,460.00,1,460.00,0.00,-0.72,100,SPXW,SPX,4/14/26,6965,CALL,454367107,459.28,USD
2026-04-14T13:44:36-0300,Trade,Sell to Open,SELL_TO_OPEN,SPXW  260414C06980000,Equity Option,Sold 1 SPX 04/14/26 Call 6980.00 @ 1.62,162.00,1,162.00,-1.00,-0.72,100,SPXW,SPX,4/14/26,6980,CALL,454249461,160.28,USD
2026-04-14T13:44:36-0300,Trade,Buy to Open,BUY_TO_OPEN,SPXW  260414C06965000,Equity Option,Bought 1 SPX 04/14/26 Call 6965.00 @ 4.92,-492.00,1,-492.00,-1.00,-0.72,100,SPXW,SPX,4/14/26,6965,CALL,454249461,-493.72,USD
2026-04-14T11:38:52-0300,Trade,Sell to Close,SELL_TO_CLOSE,SPXW  260414C06965000,Equity Option,Sold 1 SPX 04/14/26 Call 6965.00 @ 1.57,157.00,1,157.00,0.00,-0.72,100,SPXW,SPX,4/14/26,6965,CALL,454137172,156.28,USD
2026-04-14T11:38:52-0300,Trade,Buy to Close,BUY_TO_CLOSE,SPXW  260414C06950000,Equity Option,Bought 1 SPX 04/14/26 Call 6950.00 @ 3.67,-367.00,1,-367.00,0.00,-0.72,100,SPXW,SPX,4/14/26,6950,CALL,454137172,-367.72,USD
2026-04-14T11:38:46-0300,Trade,Sell to Close,SELL_TO_CLOSE,SPXW  260414C06965000,Equity Option,Sold 1 SPX 04/14/26 Call 6965.00 @ 1.60,160.00,1,160.00,0.00,-0.72,100,SPXW,SPX,4/14/26,6965,CALL,454137172,159.28,USD
2026-04-14T11:38:46-0300,Trade,Buy to Close,BUY_TO_CLOSE,SPXW  260414C06950000,Equity Option,Bought 1 SPX 04/14/26 Call 6950.00 @ 3.70,-370.00,1,-370.00,0.00,-0.72,100,SPXW,SPX,4/14/26,6950,CALL,454137172,-370.72,USD
2026-04-14T11:30:56-0300,Trade,Buy to Open,BUY_TO_OPEN,SPXW  260414C06965000,Equity Option,Bought 1 SPX 04/14/26 Call 6965.00 @ 1.70,-170.00,1,-170.00,-1.00,-0.72,100,SPXW,SPX,4/14/26,6965,CALL,454131070,-171.72,USD
2026-04-14T11:30:56-0300,Trade,Sell to Open,SELL_TO_OPEN,SPXW  260414C06950000,Equity Option,Sold 1 SPX 04/14/26 Call 6950.00 @ 3.95,395.00,1,395.00,-1.00,-0.72,100,SPXW,SPX,4/14/26,6950,CALL,454131070,393.28,USD
2026-04-14T11:30:56-0300,Trade,Buy to Open,BUY_TO_OPEN,SPXW  260414C06965000,Equity Option,Bought 1 SPX 04/14/26 Call 6965.00 @ 1.70,-170.00,1,-170.00,-1.00,-0.72,100,SPXW,SPX,4/14/26,6965,CALL,454131070,-171.72,USD
2026-04-14T11:30:56-0300,Trade,Sell to Open,SELL_TO_OPEN,SPXW  260414C06950000,Equity Option,Sold 1 SPX 04/14/26 Call 6950.00 @ 3.95,395.00,1,395.00,-1.00,-0.72,100,SPXW,SPX,4/14/26,6950,CALL,454131070,393.28,USD
2026-04-11T16:14:08-0300,Money Movement,Balance Adjustment,,,,Regulatory fee adjustment,0.11,0,,--,0.00,,,,,,,,0.11,USD
2026-04-09T14:37:24-0300,Trade,Sell to Close,SELL_TO_CLOSE,SPXW  260409P06750000,Equity Option,Sold 2 SPX 04/09/26 Put 6750.00 @ 0.47,94.00,2,47.00,0.00,-1.46,100,SPXW,SPX,4/09/26,6750,PUT,453144748,92.54,USD
2026-04-09T14:37:24-0300,Trade,Buy to Close,BUY_TO_CLOSE,SPXW  260409P06790000,Equity Option,Bought 2 SPX 04/09/26 Put 6790.00 @ 1.07,-214.00,2,-107.00,0.00,-1.45,100,SPXW,SPX,4/09/26,6790,PUT,453144748,-215.45,USD
2026-04-09T13:17:55-0300,Trade,Sell to Close,SELL_TO_CLOSE,SPXW  260409P06680000,Equity Option,Sold 1 SPX 04/09/26 Put 6680.00 @ 0.27,27.00,1,27.00,0.00,-0.72,100,SPXW,SPX,4/09/26,6680,PUT,453095985,26.28,USD
2026-04-09T13:17:55-0300,Trade,Buy to Close,BUY_TO_CLOSE,SPXW  260409P06720000,Equity Option,Bought 1 SPX 04/09/26 Put 6720.00 @ 0.47,-47.00,1,-47.00,0.00,-0.72,100,SPXW,SPX,4/09/26,6720,PUT,453095985,-47.72,USD
2026-04-09T13:17:55-0300,Trade,Sell to Close,SELL_TO_CLOSE,SPXW  260409P06680000,Equity Option,Sold 1 SPX 04/09/26 Put 6680.00 @ 0.27,27.00,1,27.00,0.00,-0.72,100,SPXW,SPX,4/09/26,6680,PUT,453095985,26.28,USD
2026-04-09T13:17:55-0300,Trade,Buy to Close,BUY_TO_CLOSE,SPXW  260409P06720000,Equity Option,Bought 1 SPX 04/09/26 Put 6720.00 @ 0.47,-47.00,1,-47.00,0.00,-0.72,100,SPXW,SPX,4/09/26,6720,PUT,453095985,-47.72,USD
2026-04-09T13:11:24-0300,Trade,Buy to Open,BUY_TO_OPEN,SPXW  260409P06750000,Equity Option,Bought 2 SPX 04/09/26 Put 6750.00 @ 0.82,-164.00,2,-82.00,-2.00,-1.45,100,SPXW,SPX,4/09/26,6750,PUT,453090692,-167.45,USD
2026-04-09T13:11:24-0300,Trade,Sell to Open,SELL_TO_OPEN,SPXW  260409P06790000,Equity Option,Sold 2 SPX 04/09/26 Put 6790.00 @ 3.12,624.00,2,312.00,-2.00,-1.46,100,SPXW,SPX,4/09/26,6790,PUT,453090692,620.54,USD
2026-04-09T12:48:12-0300,Trade,Sell to Close,SELL_TO_CLOSE,SPXW  260409C06880000,Equity Option,Sold 1 SPX 04/09/26 Call 6880.00 @ 1.07,107.00,1,107.00,0.00,-0.72,100,SPXW,SPX,4/09/26,6880,CALL,453063408,106.28,USD
2026-04-09T12:48:12-0300,Trade,Buy to Close,BUY_TO_CLOSE,SPXW  260409C06840000,Equity Option,Bought 1 SPX 04/09/26 Call 6840.00 @ 3.72,-372.00,1,-372.00,0.00,-0.72,100,SPXW,SPX,4/09/26,6840,CALL,453063408,-372.72,USD
2026-04-09T12:48:12-0300,Trade,Sell to Close,SELL_TO_CLOSE,SPXW  260409C06880000,Equity Option,Sold 1 SPX 04/09/26 Call 6880.00 @ 1.07,107.00,1,107.00,0.00,-0.72,100,SPXW,SPX,4/09/26,6880,CALL,453063408,106.28,USD
2026-04-09T12:48:12-0300,Trade,Buy to Close,BUY_TO_CLOSE,SPXW  260409C06840000,Equity Option,Bought 1 SPX 04/09/26 Call 6840.00 @ 3.72,-372.00,1,-372.00,0.00,-0.72,100,SPXW,SPX,4/09/26,6840,CALL,453063408,-372.72,USD
2026-04-09T12:35:51-0300,Trade,Buy to Open,BUY_TO_OPEN,SPXW  260409C06880000,Equity Option,Bought 1 SPX 04/09/26 Call 6880.00 @ 0.70,-70.00,1,-70.00,-1.00,-0.72,100,SPXW,SPX,4/09/26,6880,CALL,453059380,-71.72,USD
2026-04-09T12:35:51-0300,Trade,Sell to Open,SELL_TO_OPEN,SPXW  260409C06840000,Equity Option,Sold 1 SPX 04/09/26 Call 6840.00 @ 2.55,255.00,1,255.00,-1.00,-0.72,100,SPXW,SPX,4/09/26,6840,CALL,453059380,253.28,USD
2026-04-09T12:35:03-0300,Trade,Buy to Open,BUY_TO_OPEN,SPXW  260409C06880000,Equity Option,Bought 1 SPX 04/09/26 Call 6880.00 @ 0.62,-62.00,1,-62.00,-1.00,-0.72,100,SPXW,SPX,4/09/26,6880,CALL,453058780,-63.72,USD
2026-04-09T12:35:03-0300,Trade,Sell to Open,SELL_TO_OPEN,SPXW  260409C06840000,Equity Option,Sold 1 SPX 04/09/26 Call 6840.00 @ 2.27,227.00,1,227.00,-1.00,-0.72,100,SPXW,SPX,4/09/26,6840,CALL,453058780,225.28,USD
2026-04-09T12:32:46-0300,Trade,Buy to Close,BUY_TO_CLOSE,SPXW  260409C06825000,Equity Option,Bought 1 SPX 04/09/26 Call 6825.00 @ 3.67,-367.00,1,-367.00,0.00,-0.72,100,SPXW,SPX,4/09/26,6825,CALL,453054251,-367.72,USD
